DATE,AEXKOUS
2011-01-01,1106.94
2012-01-01,1126.1621
2013-01-01,1094.6749
2014-01-01,1052.2924
2015-01-01,1130.9603
2016-01-01,1159.3422
2017-01-01,1129.0435
2018-01-01,1099.2926
2019-01-01,1165.8016
