DATE,AEXINUS
2011-01-01,46.5782
2012-01-01,53.3743
2013-01-01,58.5149
2014-01-01,60.9953
2015-01-01,64.1073
2016-01-01,67.1572
2017-01-01,65.0659
2018-01-01,68.3734
2019-01-01,70.3777
