DATE,AEXUSAL
2011-01-01,1.0332
2012-01-01,1.0359
2013-01-01,0.9683
2014-01-01,0.9034
2015-01-01,0.7522
2016-01-01,0.7445
2017-01-01,0.7671
2018-01-01,0.7481
2019-01-01,0.6952
