DATE,AEXJPUS
2011-01-01,79.6967
2012-01-01,79.818
2013-01-01,97.5971
2014-01-01,105.7398
2015-01-01,121.0491
2016-01-01,108.6569
2017-01-01,112.0986
2018-01-01,110.3974
2019-01-01,109.0188
