Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,International Tourism per capita,Consumption per Capita,Income Per Capita
United Kingdom,1.3555,85675,4587092,8.12,29783.49281,1337.803859,34592.27769,34430.33556
Japan,108.6569,80948,3603786,12.35,4209284.547,203.0245228,29329.45661,31513.02521
"Korea, Rep.",1159.3422,77370,3049942,16.7,29461101.98,581.8438606,17621.39802,22420.54385
China,6.64,2264412,1982516,7.25,53109.78475,181.41608,4365.571042,6163.984514
Brazil,3.4839,503642,1725479,7.3,19285.45303,82.78883795,7373.338438,7405.912556
Germany,1.1072,79124,2046288,15.38,37616.15819,1061.280055,30489.38168,35796.37979
France,1.1072,53099,1641152,10.86,33241.4411,729.2876039,28828.99624,31055.08234
Australia,0.7445,47083,1206771,26.02,72567.68008,1360.96592,38429.56364,38660.73451
Italy,1.1072,35369,1350508,8.65,27653.09728,412.0572483,24487.07351,25361.60232
India,67.1572,977825,988860,20.42,92851.92794,14.48385135,1204.340092,1504.456703
