Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,International Tourism per capita,Consumption per Capita,Income Per Capita
United Kingdom,1.5284,85675,4915379,12.22,29432.35872,1382.198285,37756.6867,37867.41769
Japan,121.0491,75700,3792997,10.03,4178980.817,182.8835702,26375.44144,28057.78392
"Korea, Rep.",1130.9603,73402,2628570,5.36,28752128.27,548.015859,17433.30244,21959.15151
China,6.2827,2626584,1775456,10.87,50027.92404,182.1961465,4242.360817,6091.615435
Brazil,3.336,930306,2228291,16.28,20109.66934,99.55408563,7380.970035,7447.224088
Germany,1.1096,65798,2284912,21.24,37093.83904,1044.332712,29800.8446,34943.00595
France,1.1096,48378,1767343,22.1,33012.77788,716.2425158,28505.09163,30857.68707
Australia,0.7522,40290,1147693,23.78,71722.84845,1201.461455,42710.79163,43915.72181
Italy,1.1096,29132,1453103,21.24,27257.35446,402.0544377,24147.63619,24511.37283
India,64.1073,961423,1045424,20.41,86779.92812,13.49919289,1114.862665,1404.923449
