Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,International Tourism per capita,Consumption per Capita,Income Per Capita
United Kingdom,1.5642,85675,4017209,10.9,28461.58183,1272.294668,36917.441,36538.23564
Japan,97.5971,76473,3887328,8.5,4103268.994,253.0032563,32009.88662,32488.22596
"Korea, Rep.",1094.6749,80919,1872033,3.5,27381774.97,485.01957,17066.28777,20901.65801
China,6.1478,1467563,1437924,12.8,44057.62639,94.72365881,3571.173879,5262.94989
Brazil,2.157,982463,2108357,13,21098.94093,145.6754717,9914.995134,10414.89321
Germany,1.3281,63451,2021597,16.6,36126.11388,1273.187795,34338.38707,39257.73989
France,1.3281,45532,1601301,15.2,32631.58728,794.682476,33540.81877,35808.93088
Australia,0.9683,36735,905834,18.7,70485.85729,1521.826517,50022.20456,52930.05827
Italy,1.3281,26894,1307582,18.1,27271.09138,447.4221082,28691.95956,28810.48189
India,58.5149,684176,885580,16.9,76522.61736,10.83970954,984.8723991,1249.209021
