Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,International Tourism per capita,Consumption per Capita,Income Per Capita
Great Britain and Northern Ireland,1.6043,85675.00,3905195.00,27.3,27836.65071,1207.719044,35837.31862,36364.55421
Japan,79.6967,71218.00,3329014.00,18.7,3951513.46,311.030798,37782.81039,38081.33916
"Korea, South",1106.94,106994.00,1211197.00,7.5,26271145.85,444.4632416,15783.40136,19677.69496
China - mainland,6.463,945040.00,1112287.00,12,38276.30871,54.00147307,2775.125918,4124.14412
Brazil,1.6723,801371.00,1519009.00,3.8,20455.6445,124.5882999,10456.49633,10986.60762
Germany,1.3931,63663.00,1874119.00,18.6,35987.16103,1243.712503,34263.72572,39671.91268
France,1.3931,45779.00,1551027.00,23.9,32667.98259,848.9384749,34475.11722,37180.50512
Australia,1.0332,34230.00,1052480.00,22.7,68451.67221,1520.454947,45341.93876,47843.28688
Italy,1.3931,23023.00,907748.00,18.3,29048.29413,483.7869075,31239.25923,31385.78409
India,46.5782,554267.00,696107.00,30.1,69874.5096,10.95666919,981.1813636,1258.540207
