Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,International Tourism per capita,Consumption per Capita,Income Per Capita
United Kingdom,1.289,85675,4482707,8.47,30134.18512,1084.956675,33773.66842,34170.56251
Japan,112.0986,79561,3595607,14.57,4297534.375,143.3677938,28811.1136,31107.44895
"Korea, Rep.",1129.0435,79107,3173915,12.34,30233342.85,648.0758119,18865.70178,24027.91605
China,6.7569,1689893,2334839,5.91,56382.2886,185.9015648,4665.257737,6567.928606
Brazil,3.191,579210,1912447,7.43,19333.93317,110.6220286,8296.243166,8397.118144
Germany,1.1301,78085,2080425,17.18,38399.63044,1180.746914,31919.86082,37791.48357
France,1.1301,53236,1667506,12.54,33990.03201,752.6941092,30050.78401,32671.75509
Australia,0.7671,47454,1285466,23.29,73044.92425,1605.203834,40718.87248,41489.47676
Italy,1.1301,35657,1323703,9.05,28169.85476,460.5965613,25572.08718,26537.35914
India,65.0659,1009332,1032107,20.15,98455.68527,16.32678874,1387.14955,1678.499262
