Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,International Tourism per capita,Consumption per Capita,Income Per Capita
United Kingdom,1.6484,85675,4165429,9.3,28984.53134,1329.775544,39965.54262,39971.56127
Japan,105.7398,77860,3653454,9,4124113.573,224.77922,29934.55168,30650.29064
"Korea, Rep.",1052.2924,73200,2224787,3.2,28119533.94,515.0289795,18207.89818,22533.15082
China,6.162,1767596,1473365,12.8,47034.87425,166.6415006,3917.22313,5754.297064
Brazil,2.3512,1086906,2274305,18.8,21024.57281,147.945588,9946.00933,10186.72129
Germany,1.3297,65340,2073675,20.1,36776.53567,1255.851573,35016.20721,40589.06727
France,1.3297,47737,1675898,22.9,32785.9249,881.3244446,33734.04045,36130.04873
Australia,0.9034,38729,985667,19.8,71201.36979,1382.792392,46059.14392,48159.36038
Italy,1.3297,28402,1308707,21.2,27020.79352,474.7065019,28466.26881,28875.13354
India,60.9953,808287,970293,19.4,81256.8666,13.50103698,1079.187623,1368.284906
